Model,Target_Broken,has_mes_data,total_duration,total_operations,avg_operation_duration,num_outliers_total,num_outliers_iqr,num_outliers_8h,num_short_duration,unique_outlier_types,num_unique_operations,num_switches_workcenter,pct_outliers_total,total_process_timespan_seconds,has_assembly,has_test,total_process_duration,has_impossible_timing,was_produced_outside_shift_hours,MissingOperations,TotalRepeatedExecutions,DistinctOperationsRepeated,Assembly,MAI,ST,PROP,FT,FI,Packing,Brazing,LT,Bottom Preparation,Bottom Assembly,Assembly Merge,ST01,ST02,Final Assembly,Grounding safety test,Top Preparation,has_test_measurements,NumberOfFailedTests,CoolingCompressorPressureOutInDelta,GroundContinuityPowerPanel,HeatingWaterTempOutInDeltaTestSystemCalori,CoolingAirTempInOutDelta,VoltageWithstandAc,GroundContinuityFanCover,AirTempInOutDelta,GroundContinuityFanTopCover,GroundContinuityFan,GroundContinuityEvaporator,HeatingAmbientHumidity,HeatingTransientTempIn,CompressorTempInAbsolute,Vacuum not reached to soon,HeatingAmbientTemperature,CoolingWaterTempOutInDelta,InitAmbientTemperature,DeInitAmbientTemperature,TestSystemPowerConsumed,TestSystemPowerCreated,StartWaterTempInTestSystem,StartWaterTempOutTestSystem,DuctCOP,CompressorPressureInAbsolute,OpPlannedTotalQuantity,OpTotalConfirmedYieldQty,OpTotalConfirmedScrapQty,CommissionedMonthIndex,BoilerType_0,BoilerType_1,BoilerType_2,BoilerType_3,DhwType_0,DhwType_1,DhwType_2,first_op_is_assembly,last_op_is_packing,dominant_op_is_assembly
0,0,1,5899.0,7.0,842.7142857142857,7.0,2.0,0.0,2.0,2.0,7.0,4.0,1.0,800313.0,1.0,1.0,5899.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,33.0,,,1.0,,0.0,,,,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,427.0,421.0,0.0,13,0,0,1,0,0,0,1,1,1,1
1,0,1,26.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,7543.0,1.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,78.0,78.0,0.0,13,0,0,1,0,0,0,1,1,0,1
0,0,1,4110.0,5.0,822.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,78235.0,1.0,1.0,4110.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42.0,1.0,,1.0,1.0,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,240.0,240.0,0.0,14,0,1,0,0,0,1,0,1,0,1
1,0,1,19.0,2.0,9.5,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1749.0,1.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,78.0,78.0,0.0,11,0,0,0,1,0,0,1,1,0,1
0,0,1,3883.0,8.0,485.375,8.0,0.0,0.0,3.0,2.0,7.0,4.0,1.0,705234.0,1.0,1.0,3883.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.0,,,1.0,,0.0,,,,0.0,1.0,1.0,0.0,,,1.0,,1.0,1.0,,,0.0,0.0,,,488.0,482.0,0.0,12,0,0,1,0,0,0,1,1,1,0
1,0,1,1485.0,3.0,495.0,3.0,1.0,0.0,1.0,2.0,3.0,3.0,1.0,1024153.0,1.0,0.0,1485.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,90.0,90.0,0.0,14,0,0,1,0,0,0,1,1,1,1
1,0,1,18.0,3.0,6.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1043397.0,1.0,0.0,18.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,90.0,90.0,0.0,14,0,0,0,1,0,0,1,1,1,1
1,0,1,24.0,3.0,8.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,949124.0,1.0,0.0,24.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,90.0,90.0,0.0,12,0,0,1,0,0,0,1,1,1,1
0,0,1,4968.0,6.0,828.0,6.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,361002.0,1.0,1.0,4968.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30.0,,,1.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,288.0,288.0,0.0,12,0,0,0,1,0,0,1,1,0,0
0,0,1,7681.0,7.0,1097.2857142857142,7.0,0.0,0.0,2.0,1.0,5.0,4.0,1.0,81585.0,1.0,1.0,7681.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,51.0,1.0,,1.0,1.0,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,336.0,336.0,0.0,12,0,1,0,0,0,1,0,1,0,0
