CommissionedAt,BoilerType,DhwType,Model,SerialNumber,CommissionedMonth,Target_Broken,has_mes_data,total_operations,avg_operation_duration,num_outliers_total,num_outliers_iqr,num_outliers_8h,num_short_duration,unique_outlier_types,num_unique_operations,num_switches_workcenter,pct_outliers_total,first_operation_type,last_operation_type,total_process_timespan_seconds,dominant_operation_type,has_assembly,has_test,total_process_duration,has_impossible_timing,was_produced_outside_shift_hours,MissingOperations,TotalRepeatedExecutions,DistinctOperationsRepeated,Assembly,MAI,ST,PROP,FT,FI,Packing,Brazing,LT,Bottom Preparation,Bottom Assembly,Assembly Merge,ST01,ST02,Final Assembly,Grounding safety test,Top Preparation,NumChildren,NumParents,has_test_measurements,NumberOfFailedTests,CoolingCompressorPressureOutInDelta,GroundContinuityPowerPanel,HeatingWaterTempOutInDeltaTestSystemCalori,CoolingAirTempInOutDelta,VoltageWithstandAc,GroundContinuityFanCover,AirTempInOutDelta,GroundContinuityFanTopCover,GroundContinuityFan,GroundContinuityEvaporator,HeatingAmbientHumidity,HeatingTransientTempIn,CompressorTempInAbsolute,Vacuum not reached to soon,HeatingAmbientTemperature,CoolingWaterTempOutInDelta,InitAmbientTemperature,DeInitAmbientTemperature,TestSystemPowerConsumed,TestSystemPowerCreated,StartWaterTempInTestSystem,StartWaterTempOutTestSystem,DuctCOP,CompressorPressureInAbsolute,NumberOfRepeatedTests,NumberOfMarginTests,OpPlannedTotalQuantity,OpTotalConfirmedYieldQty,OpTotalConfirmedScrapQty
2025-02-24 17:22:19.685277+00:00,2,2,0,SN-BB2E4F-2Y,2025-02,0,1,19.0,277.1578947368421,19.0,1.0,0.0,13.0,3.0,7.0,4.0,1.0,Assembly,Packing,286832.0,FT,1.0,1.0,5266.0,1.0,1.0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,128.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,49,17,855.0,855.0,0.0
Unknown,0,0,1,SN-524BC0-2Y,Unknown,0,1,4.0,29.25,4.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,Assembly,Packing,162.0,Assembly,1.0,1.0,117.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,160.0,160.0,0.0
2025-02-06 16:39:43.845981+00:00,1,2,1,SN-29CFF8-2Y,2025-02,0,1,5.0,21.6,5.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,Assembly,Packing,1288.0,ST,1.0,1.0,108.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,0,200.0,200.0,0.0
Unknown,0,0,0,SN-29234B-2Y,Unknown,0,1,7.0,758.0,7.0,0.0,0.0,1.0,1.0,7.0,4.0,1.0,Assembly,Packing,271652.0,Assembly,1.0,1.0,5306.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,34.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0,1,315.0,315.0,0.0
2025-03-25 10:56:21.274498+00:00,3,2,1,SN-F94A51-2Y,2025-03,0,1,4.0,12.25,4.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,Assembly,Packing,147740.0,Assembly,1.0,1.0,49.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,160.0,160.0,0.0
2025-03-05 08:54:00.866557+00:00,1,1,0,SN-DD3694-2Y,2025-03,0,1,13.0,18103.30769230769,13.0,1.0,1.0,7.0,3.0,7.0,4.0,1.0,Assembly,Packing,181472.0,ST,1.0,1.0,235343.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,38.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2,1,585.0,585.0,0.0
Unknown,0,0,0,SN-F6E91D-2Y,Unknown,0,1,7.0,472.4285714285714,7.0,0.0,0.0,1.0,1.0,7.0,4.0,1.0,Assembly,Packing,173911.0,Assembly,1.0,1.0,3307.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,31.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0,4,378.0,378.0,0.0
2025-03-07 17:01:28.547710+00:00,1,1,0,SN-2AA27F-2Y,2025-03,0,1,7.0,1459.142857142857,7.0,1.0,0.0,1.0,2.0,7.0,4.0,1.0,Assembly,Packing,242614.0,Assembly,1.0,1.0,10214.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,35.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0,5,315.0,312.0,0.0
2025-03-14 16:27:41.835500+00:00,1,2,0,SN-19978E-2Y,2025-03,0,1,8.0,590.75,8.0,1.0,0.0,2.0,3.0,7.0,4.0,1.0,Assembly,Packing,96327.0,FT,1.0,1.0,4726.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,38.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,4,1,352.0,328.0,0.0
2025-03-15 17:23:35.706298+00:00,1,2,0,SN-F3E4DE-2Y,2025-03,0,1,9.0,559.8888888888889,9.0,0.0,0.0,3.0,1.0,7.0,4.0,1.0,Assembly,Packing,83503.0,FT,1.0,1.0,5039.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,42.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,4,1,432.0,432.0,0.0
